id,eidos_koinotitas,onoma_dimotikis_enotitas,eidos_neou_ota,onoma_neou_ota,perifereiaki_enotita,perifereia
87,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΛΑΜΑΡΙΑΣ,ΔΗΜΟΣ,ΚΑΛΑΜΑΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
88,ΔΗΜ. ΚΟΙΝΟΤ,ΕΛΕΥΘΕΡΙΟΥ-ΚΟΡΔΕΛΙΟΥ,ΔΗΜΟΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
89,ΔΗΜ. ΚΟΙΝΟΤ,ΕΥΟΣΜΟΥ,ΔΗΜΟΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
90,ΔΗΜ. ΚΟΙΝΟΤ,ΑΣΣΗΡΟΥ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
91,ΤΟΠ. ΚΟΙΝΟΤ,ΒΕΡΤΙΣΚΟΥ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
92,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΛΙΝΔΟΙΩΝ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
93,ΤΟΠ. ΚΟΙΝΟΤ,ΚΟΡΩΝΕΙΑΣ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
94,ΔΗΜ. ΚΟΙΝΟΤ,ΛΑΓΚΑΔΑ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
95,ΤΟΠ. ΚΟΙΝΟΤ,ΛΑΧΑΝΑ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
96,ΔΗΜ. ΚΟΙΝΟΤ,ΣΟΧΟΥ,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
97,ΔΗΜ. ΚΟΙΝΟΤ,ΑΓΙΟΥ ΠΑΥΛΟΥ,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
98,ΔΗΜ. ΚΟΙΝΟΤ,ΝΕΑΠΟΛΕΩΣ,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
99,ΔΗΜ. ΚΟΙΝΟΤ,ΠΕΥΚΩΝ,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
100,ΔΗΜ. ΚΟΙΝΟΤ,ΣΥΚΕΩΝ,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
101,ΔΗΜ. ΚΟΙΝΟΤ,ΕΥΚΑΡΠΙΑΣ,ΔΗΜΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
102,ΔΗΜ. ΚΟΙΝΟΤ,ΠΟΛΙΧΝΗΣ,ΔΗΜΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
103,ΔΗΜ. ΚΟΙΝΟΤ,ΣΤΑΥΡΟΥΠΟΛΕΩΣ,ΔΗΜΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
104,ΔΗΜ. ΚΟΙΝΟΤ,ΠΑΝΟΡΑΜΑΤΟΣ,ΔΗΜΟΣ,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
105,ΔΗΜ. ΚΟΙΝΟΤ,ΠΥΛΑΙΑΣ,ΔΗΜΟΣ,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
106,ΔΗΜ. ΚΟΙΝΟΤ,ΧΟΡΤΙΑΤΗ,ΔΗΜΟΣ,ΠΥΛΑΙΑΣ-ΧΟΡΤΙΑΤΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
107,ΔΗΜ. ΚΟΙΝΟΤ,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ,ΔΗΜΟΣ,ΧΑΛΚΗΔΟΝΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
108,ΔΗΜ. ΚΟΙΝΟΤ,ΚΟΥΦΑΛΙΩΝ,ΔΗΜΟΣ,ΧΑΛΚΗΔΟΝΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
109,ΔΗΜ. ΚΟΙΝΟΤ,ΧΑΛΚΗΔΟΝΟΣ,ΔΗΜΟΣ,ΧΑΛΚΗΔΟΝΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
110,ΤΟΠ. ΚΟΙΝΟΤ,ΚΑΛΛΙΘΕΑΣ,ΔΗΜΟΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
111,ΔΗΜ. ΚΟΙΝΟΤ,ΜΥΓΔΟΝΙΑΣ,ΔΗΜΟΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
112,ΔΗΜ. ΚΟΙΝΟΤ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΔΗΜΟΣ,ΩΡΑΙΟΚΑΣΤΡΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
113,ΤΟΠ. ΚΟΙΝΟΤ,ΓΑΛΛΙΚΟΥ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
114,ΤΟΠ. ΚΟΙΝΟΤ,ΔΟΪΡΑΝΗΣ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
115,ΔΗΜ. ΚΟΙΝΟΤ,ΚΙΛΚΙΣ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
116,ΤΟΠ. ΚΟΙΝΟΤ,ΚΡΟΥΣΣΩΝ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
117,ΤΟΠ. ΚΟΙΝΟΤ,ΜΟΥΡΙΩΝ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
118,ΤΟΠ. ΚΟΙΝΟΤ,ΠΙΚΡΟΛΙΜΝΗΣ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
119,ΤΟΠ. ΚΟΙΝΟΤ,ΧΕΡΣΟΥ,ΔΗΜΟΣ,ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
120,ΔΗΜ. ΚΟΙΝΟΤ,ΑΞΙΟΥΠΟΛΗΣ,ΔΗΜΟΣ,ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
121,ΔΗΜ. ΚΟΙΝΟΤ,ΓΟΥΜΕΝΙΣΣΑΣ,ΔΗΜΟΣ,ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
122,ΔΗΜ. ΚΟΙΝΟΤ,ΕΥΡΩΠΟΥ,ΔΗΜΟΣ,ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
123,ΤΟΠ. ΚΟΙΝΟΤ,ΛΙΒΑΔΙΩΝ,ΔΗΜΟΣ,ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
124,ΔΗΜ. ΚΟΙΝΟΤ,ΠΟΛΥΚΑΣΤΡΟΥ,ΔΗΜΟΣ,ΠΑΙΟΝΙΑΣ,ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
125,ΔΗΜ. ΚΟΙΝΟΤ,ΑΡΙΔΑΙΑΣ,ΔΗΜΟΣ,ΑΛΜΩΠΙΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
126,ΤΟΠ. ΚΟΙΝΟΤ,ΕΞΑΠΛΑΤΑΝΟΥ,ΔΗΜΟΣ,ΑΛΜΩΠΙΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
127,ΤΟΠ. ΚΟΙΝΟΤ,ΒΕΓΟΡΙΤΙΔΑΣ,ΔΗΜΟΣ,ΕΔΕΣΣΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
128,ΔΗΜ. ΚΟΙΝΟΤ,ΕΔΕΣΣΑΣ,ΔΗΜΟΣ,ΕΔΕΣΣΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
129,ΔΗΜ. ΚΟΙΝΟΤ,ΓΙΑΝΝΙΤΣΩΝ,ΔΗΜΟΣ,ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
130,ΔΗΜ. ΚΟΙΝΟΤ,ΚΡΥΑΣ ΒΡΥΣΗΣ,ΔΗΜΟΣ,ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
131,ΔΗΜ. ΚΟΙΝΟΤ,ΚΥΡΡΟΥ,ΔΗΜΟΣ,ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
132,ΔΗΜ. ΚΟΙΝΟΤ,ΜΕΓΑΛΟΥ ΑΛΕΞΑΝΔΡΟΥ,ΔΗΜΟΣ,ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
133,ΔΗΜ. ΚΟΙΝΟΤ,ΠΕΛΛΑΣ,ΔΗΜΟΣ,ΠΕΛΛΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
134,ΤΟΠ. ΚΟΙΝΟΤ,ΜΕΝΗΙΔΟΣ,ΔΗΜΟΣ,ΣΚΥΔΡΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
135,ΔΗΜ. ΚΟΙΝΟΤ,ΣΚΥΔΡΑΣ,ΔΗΜΟΣ,ΣΚΥΔΡΑΣ,ΠΕΛΛΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
136,ΔΗΜ. ΚΟΙΝΟΤ,ΑΝΑΤΟΛΙΚΟΥ ΟΛΥΜΠΟΥ,ΔΗΜΟΣ,ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
137,ΔΗΜ. ΚΟΙΝΟΤ,ΔΙΟΥ,ΔΗΜΟΣ,ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
138,ΔΗΜ. ΚΟΙΝΟΤ,ΛΙΤΟΧΩΡΟΥ,ΔΗΜΟΣ,ΔΙΟΥ-ΟΛΥΜΠΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
139,ΤΟΠ. ΚΟΙΝΟΤ,ΕΛΑΦΙΝΑΣ,ΔΗΜΟΣ,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
140,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΤΕΡΙΝΗΣ,ΔΗΜΟΣ,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
141,ΔΗΜ. ΚΟΙΝΟΤ,ΚΟΡΙΝΟΥ,ΔΗΜΟΣ,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
142,ΔΗΜ. ΚΟΙΝΟΤ,ΠΑΡΑΛΙΑΣ,ΔΗΜΟΣ,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
143,ΔΗΜ. ΚΟΙΝΟΤ,ΠΕΤΡΑΣ,ΔΗΜΟΣ,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
144,ΤΟΠ. ΚΟΙΝΟΤ,ΠΙΕΡΙΩΝ,ΔΗΜΟΣ,ΚΑΤΕΡΙΝΗΣ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
145,ΔΗΜ. ΚΟΙΝΟΤ,ΑΙΓΙΝΙΟΥ,ΔΗΜΟΣ,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
146,ΔΗΜ. ΚΟΙΝΟΤ,ΚΟΛΙΝΔΡΟΥ,ΔΗΜΟΣ,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
147,ΤΟΠ. ΚΟΙΝΟΤ,ΜΕΘΩΝΗΣ,ΔΗΜΟΣ,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
148,ΤΟΠ. ΚΟΙΝΟΤ,ΠΥΔΝΑΣ,ΔΗΜΟΣ,ΠΥΔΝΑΣ-ΚΟΛΙΝΔΡΟΥ,ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
149,ΤΟΠ. ΚΟΙΝΟΤ,ΑΜΦΙΠΟΛΗΣ,ΔΗΜΟΣ,ΑΜΦΙΠΟΛΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
150,ΤΟΠ. ΚΟΙΝΟΤ,ΚΟΡΜΙΣΤΑΣ,ΔΗΜΟΣ,ΑΜΦΙΠΟΛΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
151,ΤΟΠ. ΚΟΙΝΟΤ,ΠΡΩΤΗΣ,ΔΗΜΟΣ,ΑΜΦΙΠΟΛΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
152,ΔΗΜ. ΚΟΙΝΟΤ,ΡΟΔΟΛΙΒΟΥΣ,ΔΗΜΟΣ,ΑΜΦΙΠΟΛΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
153,ΤΟΠ. ΚΟΙΝΟΤ,ΑΧΙΝΟΥ,ΔΗΜΟΣ,ΒΙΣΑΛΤΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
154,ΤΟΠ. ΚΟΙΝΟΤ,ΒΙΣΑΛΤΙΑΣ,ΔΗΜΟΣ,ΒΙΣΑΛΤΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
155,ΔΗΜ. ΚΟΙΝΟΤ,ΝΙΓΡΙΤΗΣ,ΔΗΜΟΣ,ΒΙΣΑΛΤΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
156,ΤΟΠ. ΚΟΙΝΟΤ,ΤΡΑΓΙΛΟΥ,ΔΗΜΟΣ,ΒΙΣΑΛΤΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
157,ΔΗΜ. ΚΟΙΝΟΤ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΔΗΜΟΣ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
158,ΔΗΜ. ΚΟΙΝΟΤ,ΣΤΡΥΜΩΝΑ,ΔΗΜΟΣ,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
159,ΔΗΜ. ΚΟΙΝΟΤ,ΗΡΑΚΛΕΙΑΣ,ΔΗΜΟΣ,ΗΡΑΚΛΕΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
160,ΤΟΠ. ΚΟΙΝΟΤ,ΣΚΟΤΟΥΣΣΗΣ,ΔΗΜΟΣ,ΗΡΑΚΛΕΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
161,ΤΟΠ. ΚΟΙΝΟΤ,ΣΤΡΥΜΟΝΙΚΟΥ,ΔΗΜΟΣ,ΗΡΑΚΛΕΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
162,ΔΗΜ. ΚΟΙΝΟΤ,ΑΛΙΣΤΡΑΤΗΣ,ΔΗΜΟΣ,ΝΕΑΣ ΖΙΧΝΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
163,ΔΗΜ. ΚΟΙΝΟΤ,ΝΕΑΣ ΖΙΧΝΗΣ,ΔΗΜΟΣ,ΝΕΑΣ ΖΙΧΝΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
164,ΤΟΠ. ΚΟΙΝΟΤ,ΑΝΩ ΒΡΟΝΤΟΥΣ,ΔΗΜΟΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
165,ΔΗΜ. ΚΟΙΝΟΤ,ΚΑΠΕΤΑΝ  ΜΗΤΡΟΥΣΙΟΥ,ΔΗΜΟΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
166,ΔΗΜ. ΚΟΙΝΟΤ,ΛΕΥΚΩΝΑ,ΔΗΜΟΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
167,ΤΟΠ. ΚΟΙΝΟΤ,ΟΡΕΙΝΗΣ,ΔΗΜΟΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
168,ΔΗΜ. ΚΟΙΝΟΤ,ΣΕΡΡΩΝ,ΔΗΜΟΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
169,ΔΗΜ. ΚΟΙΝΟΤ,ΣΚΟΥΤΑΡΕΩΣ,ΔΗΜΟΣ,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
170,ΤΟΠ. ΚΟΙΝΟΤ,ΑΓΚΙΣΤΡΟΥ,ΔΗΜΟΣ,ΣΙΝΤΙΚΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
171,ΤΟΠ. ΚΟΙΝΟΤ,ΑΧΛΑΔΟΧΩΡΙΟΥ,ΔΗΜΟΣ,ΣΙΝΤΙΚΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
172,ΔΗΜ. ΚΟΙΝΟΤ,ΚΕΡΚΙΝΗΣ,ΔΗΜΟΣ,ΣΙΝΤΙΚΗΣ,ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
