project_index_id,muni_code
4,9001
6,9001
6,9195
6,9199
6,9200
6,9201
7,9001
8,9001
9,9001
10,9001
11,9001
12,9001
17,9001
22,9001
28,9001
29,9001
30,9001
31,9001
33,9001
34,9001
35,9001
36,9001
37,9001
38,9001
39,9001
40,9001
42,9001
43,9001
44,9001
45,9001
46,9001
47,9001
51,9001
58,9001
70,9001
71,9001
72,9001
73,9001
74,9001
75,9001
76,9001
77,9001
78,9001
79,9001
80,9001
81,9001
82,9001
83,9001
84,9001
85,9001
86,9001
87,9001
88,9001
89,9001
90,9001
91,9001
92,9001
94,9001
97,9001
99,9001
100,9001
101,9001
103,9001
104,9001
105,9001
108,9001
108,9110
109,9001
110,9001
112,9001
114,9001
115,9001
120,9001
124,9001
125,9001
127,9001
128,9001
129,9001
130,9001
131,9001
132,9001
133,9001
134,9001
135,9001
138,9001
139,9001
140,9001
147,9001
148,9001
149,9001
150,9001
151,9001
152,9001
153,9001
154,9001
155,9001
156,9001
157,9001
158,9001
159,9001
160,9001
161,9001
170,9001
171,9001
171,9195
171,9199
171,9200
171,9201
174,9001
175,9001
180,9001
187,9001
189,9001
190,9001
191,9001
201,9001
203,9001
204,9001
205,9001
206,9001
207,9001
208,9001
209,9001
210,9001
211,9001
212,9001
213,9001
214,9001
215,9001
216,9001
218,9001
219,9001
220,9001
223,9001
224,9001
225,9001
230,9001
231,9001
234,9001
235,9001
236,9001
238,9001
239,9001
240,9001
241,9001
242,9001
243,9001
244,9001
245,9001
246,9001
247,9001
251,9001
257,9001
258,9001
259,9001
260,9001
261,9001
262,9001
263,9001
264,9001
265,9001
266,9001
267,9001
268,9001
269,9001
270,9001
271,9001
272,9001
273,9001
274,9001
274,9110
275,9001
277,9001
279,9001
280,9001
285,9001
287,9001
288,9001
289,9001
290,9001
291,9001
292,9001
295,9001
296,9001
297,9001
298,9001
300,9001
302,9001
308,9001
312,9001
313,9001
314,9001
315,9001
316,9001
317,9001
318,9001
319,9001
320,9001
321,9001
322,9001
324,9001
325,9001
327,9001
329,9001
330,9001
331,9001
333,9001
334,9001
335,9001
339,9001
340,9001
343,9001
344,9001
345,9001
346,9001
347,9001
348,9001
349,9001
350,9001
352,9001
353,9001
355,9001
356,9001
362,9001
364,9001
367,9001
368,9001
369,9001
370,9001
371,9001
372,9001
373,9001
374,9001
375,9001
376,9001
377,9001
378,9001
379,9001
380,9001
381,9001
382,9001
384,9001
385,9001
386,9001
388,9001
393,9001
394,9001
396,9001
397,9001
400,9001
402,9001
404,9001
405,9001
406,9001
408,9001
413,9001
416,9001
417,9001
418,9001
419,9001
420,9001
421,9001
422,9001
423,9001
424,9001
425,9001
426,9001
430,9001
432,9001
437,9001
438,9001
438,9195
438,9199
438,9200
438,9201
439,9001
441,9001
442,9001
446,9001
452,9001
453,9001
454,9001
455,9001
456,9001
458,9001
462,9001
465,9001
466,9001
467,9001
468,9001
469,9001
471,9001
472,9001
482,9001
483,9001
484,9001
485,9001
486,9001
487,9001
488,9001
489,9001
490,9001
491,9001
495,9001
496,9001
497,9001
498,9001
499,9001
499,9110
500,9001
500,9110
501,9001
504,9001
509,9001
511,9001
513,9001
514,9001
515,9001
516,9001
517,9001
518,9001
519,9001
521,9001
524,9001
531,9001
532,9001
533,9001
534,9001
535,9001
536,9001
537,9001
538,9001
539,9001
540,9001
546,9001
547,9001
947,9117
947,9158
947,9165
948,9117
948,9158
948,9165
949,9117
949,9158
949,9165
950,9117
950,9158
950,9165
959,9114
960,9114
961,9114
962,9114
963,9001
963,9114
982,9302
982,9310
984,9276
985,9276
986,9276
987,9276
1036,9026
1036,9027
1036,9033
1036,9034
1036,9036
1036,9038
1037,9026
1037,9027
1037,9033
1037,9034
1037,9036
1037,9038
1038,9026
1038,9027
1038,9033
1038,9034
1038,9036
1038,9038
1039,9026
1039,9027
1039,9033
1039,9034
1039,9036
1039,9038
1060,9123
1061,9123
1062,9123
1063,9123
1064,9123
1065,9129
1066,9129
1067,9129
1068,9129
1073,9075
1074,9075
1075,9075
1076,9075
1077,9047
1078,9047
1079,9047
1080,9047
1097,9310
1098,9310
1099,9310
1100,9310
1101,9063
1101,9070
1102,9063
1102,9070
1103,9063
1103,9070
1104,9063
1104,9070
1125,9011
1126,9011
1127,9011
1128,9011
1141,9268
1141,9281
1141,9296
1142,9268
1142,9281
1142,9296
1143,9268
1143,9281
1143,9296
1144,9268
1144,9281
1144,9296
1153,9054
1154,9054
1155,9054
1156,9054
1165,9302
1165,9325
1166,9302
1166,9325
1167,9302
1167,9325
1168,9302
1168,9325
1177,9165
1178,9165
1179,9165
1180,9165
1197,9243
1198,9243
1199,9243
1200,9243
1201,9228
1202,9228
1203,9228
1204,9228
1205,9323
1206,9323
1207,9323
1208,9323
1213,9127
1214,9127
1215,9127
1216,9127
1241,9130
1242,9130
1243,9130
1244,9130
1245,9215
1246,9215
1247,9215
1248,9215
1249,9167
1250,9167
1251,9167
1252,9167
1277,9158
1277,9165
1278,9158
1278,9165
1279,9158
1279,9165
1280,9158
1280,9165
1285,9148
1286,9148
1287,9148
1288,9148
1309,9130
1309,9135
1309,9237
1309,9248
1309,9253
1310,9130
1310,9135
1310,9237
1310,9248
1310,9253
1311,9130
1311,9135
1311,9237
1311,9248
1311,9253
1312,9130
1312,9135
1312,9237
1312,9248
1312,9253
1330,9167
1339,9302
1339,9310
1340,9302
1340,9310
1341,9302
1341,9310
1342,9302
1342,9310
1351,9254
1352,9254
1353,9254
1354,9254
1379,9148
1379,9215
1380,9148
1380,9215
1381,9148
1381,9215
1382,9148
1382,9215
1387,9228
1388,9228
1389,9228
1390,9228
1391,9019
1391,9021
1391,9022
1392,9019
1392,9021
1392,9022
1393,9019
1393,9021
1393,9022
1394,9019
1394,9021
1394,9022
1411,9129
1412,9129
1413,9129
1414,9129
1419,9151
1420,9151
1421,9151
1422,9151
1423,9117
1423,9118
1424,9117
1424,9118
1425,9117
1425,9118
1426,9117
1426,9118
1439,9160
1439,9162
1440,9160
1440,9162
1441,9160
1441,9162
1442,9160
1442,9162
1451,9309
1452,9309
1453,9309
1454,9309
1459,9220
1460,9220
1461,9220
1462,9220
1463,9093
1464,9093
1465,9093
1466,9093
1471,9152
1472,9152
1473,9152
1474,9152
1491,9261
1492,9261
1493,9261
1494,9261
1499,9136
1500,9136
1501,9136
1502,9136
1503,9216
1504,9216
1505,9216
1506,9216
1507,9150
1507,9151
1507,9153
1508,9150
1508,9151
1508,9153
1509,9150
1509,9151
1509,9153
1510,9150
1510,9151
1510,9153
1539,9135
1539,9136
1539,9139
1539,9140
1539,9141
1540,9135
1540,9136
1540,9139
1540,9140
1540,9141
1541,9135
1541,9136
1541,9139
1541,9140
1541,9141
1542,9135
1542,9136
1542,9139
1542,9140
1542,9141
1559,9232
1560,9232
1561,9232
1562,9232
1567,9231
1568,9231
1569,9231
1570,9231
1571,9176
1571,9223
1571,9224
1572,9176
1572,9223
1572,9224
1573,9176
1573,9223
1573,9224
1574,9176
1574,9223
1574,9224
1586,9001
1586,9167
1586,9215
1597,9001
1597,9002
1598,9001
1598,9002
1599,9001
1599,9002
1600,9001
1600,9002
1621,9097
1621,9099
1621,9100
1621,9103
1622,9097
1622,9099
1622,9100
1622,9103
1623,9097
1623,9099
1623,9100
1623,9103
1624,9097
1624,9099
1624,9100
1624,9103
1637,9131
1637,9134
1638,9131
1638,9134
1639,9131
1639,9134
1640,9131
1640,9134
1653,9310
1654,9310
1655,9310
1656,9310
1657,9325
1658,9325
1659,9325
1660,9325
1717,9123
1717,9124
1717,9125
1717,9126
1717,9127
1717,9128
1717,9129
1718,9123
1718,9124
1718,9125
1718,9126
1718,9127
1718,9128
1718,9129
1719,9123
1719,9124
1719,9125
1719,9126
1719,9127
1719,9128
1719,9129
1720,9123
1720,9124
1720,9125
1720,9126
1720,9127
1720,9128
1720,9129
1749,9093
1750,9093
1751,9093
1752,9093
1757,9105
1758,9105
1759,9105
1760,9105
1768,9001
1772,9070
1773,9070
1774,9070
1775,9085
1785,9116
1785,9135
1785,9253
1786,9116
1786,9135
1786,9253
1787,9116
1787,9135
1787,9253
1794,9097
1795,9097
1796,9097
1805,9261
1806,9261
1807,9261
1808,9261
1809,9080
1810,9080
1811,9080
1812,9080
1845,9123
1845,9130
1845,9135
1845,9237
1845,9242
1845,9248
1845,9253
1846,9123
1846,9130
1846,9135
1846,9237
1846,9242
1846,9248
1846,9253
1847,9123
1847,9130
1847,9135
1847,9237
1847,9242
1847,9248
1847,9253
1848,9123
1848,9130
1848,9135
1848,9237
1848,9242
1848,9248
1848,9253
1877,9061
1877,9066
1878,9061
1878,9066
1879,9061
1879,9066
1880,9061
1880,9066
1891,9063
1892,9063
1893,9063
1906,9123
1906,9130
1906,9135
1907,9123
1907,9130
1907,9135
1908,9123
1908,9130
1908,9135
1909,9123
1909,9130
1909,9135
1918,9296
1919,9296
1920,9296
1921,9296
1930,9123
1930,9165
1931,9123
1931,9165
1932,9123
1932,9165
1933,9123
1933,9165
1938,9264
1939,9264
1940,9264
1941,9158
1941,9165
1942,9158
1942,9165
1943,9158
1943,9165
1944,9158
1944,9165
1953,9061
1953,9066
1954,9061
1954,9066
1955,9061
1955,9066
1963,9117
1963,9120
1964,9117
1964,9120
1971,9117
1971,9120
1979,9061
1979,9066
1980,9061
1980,9066
1981,9061
1981,9066
1989,9130
1990,9130
1991,9130
1992,9130
1997,9006
1998,9006
1999,9006
2000,9006
2001,9073
2001,9081
2001,9083
2001,9084
2001,9085
2001,9086
2001,9087
2001,9088
2001,9089
2001,9090
2001,9156
2001,9162
2002,9073
2002,9081
2002,9083
2002,9084
2002,9085
2002,9086
2002,9087
2002,9088
2002,9089
2002,9090
2002,9156
2002,9162
2003,9073
2003,9081
2003,9083
2003,9084
2003,9085
2003,9086
2003,9087
2003,9088
2003,9089
2003,9090
2003,9156
2003,9162
2004,9073
2004,9081
2004,9083
2004,9084
2004,9085
2004,9086
2004,9087
2004,9088
2004,9089
2004,9090
2004,9156
2004,9162
2009,9128
2010,9128
2011,9128
2012,9128
2101,9302
2101,9304
2101,9308
2101,9316
2101,9317
2101,9318
2101,9319
2101,9321
2101,9322
2101,9323
2101,9324
2101,9325
2102,9302
2102,9304
2102,9308
2102,9316
2102,9317
2102,9318
2102,9319
2102,9321
2102,9322
2102,9323
2102,9324
2102,9325
2103,9302
2103,9304
2103,9308
2103,9316
2103,9317
2103,9318
2103,9319
2103,9321
2103,9322
2103,9323
2103,9324
2103,9325
2104,9302
2104,9304
2104,9308
2104,9316
2104,9317
2104,9318
2104,9319
2104,9321
2104,9322
2104,9323
2104,9324
2104,9325
2165,9117
2165,9120
2165,9121
2165,9123
2166,9117
2166,9120
2166,9121
2166,9123
2167,9117
2167,9120
2167,9121
2167,9123
2168,9117
2168,9120
2168,9121
2168,9123
2181,9136
2181,9137
2181,9138
2181,9141
2182,9136
2182,9137
2182,9138
2182,9141
2183,9136
2183,9137
2183,9138
2183,9141
2184,9136
2184,9137
2184,9138
2184,9141
2245,9173
2245,9174
2245,9180
2245,9182
2245,9184
2245,9185
2245,9193
2245,9214
2245,9215
2245,9217
2245,9220
2245,9232
2246,9173
2246,9174
2246,9180
2246,9182
2246,9184
2246,9185
2246,9193
2246,9214
2246,9215
2246,9217
2246,9220
2246,9232
2247,9173
2247,9174
2247,9180
2247,9182
2247,9184
2247,9185
2247,9193
2247,9214
2247,9215
2247,9217
2247,9220
2247,9232
2248,9173
2248,9174
2248,9180
2248,9182
2248,9184
2248,9185
2248,9193
2248,9214
2248,9215
2248,9217
2248,9220
2248,9232
2297,9139
2298,9139
2299,9139
2300,9139
2309,9130
2309,9135
2310,9130
2310,9135
2311,9130
2311,9135
2312,9130
2312,9135
2325,9053
2325,9054
2326,9053
2326,9054
2327,9053
2327,9054
2328,9053
2328,9054
2353,9097
2353,9237
2353,9238
2353,9239
2353,9240
2354,9097
2354,9237
2354,9238
2354,9239
2354,9240
2355,9097
2355,9237
2355,9238
2355,9239
2355,9240
2356,9097
2356,9237
2356,9238
2356,9239
2356,9240
2373,9248
2373,9253
2374,9248
2374,9253
2375,9248
2375,9253
2376,9248
2376,9253
2381,9261
2382,9261
2387,9125
2388,9125
2389,9125
2390,9125
2395,9011
2396,9011
2397,9011
2398,9011
2427,9026
2427,9061
2427,9066
2428,9026
2428,9061
2428,9066
2429,9026
2429,9061
2429,9066
2430,9026
2430,9061
2430,9066
2439,9112
2439,9233
2439,9237
2440,9112
2440,9233
2440,9237
2441,9112
2441,9233
2441,9237
2442,9112
2442,9233
2442,9237
2451,9135
2452,9135
2453,9135
2454,9135
2459,9135
2460,9135
2461,9135
2462,9135
2463,9153
2464,9153
2465,9153
2466,9153
2475,9274
2475,9284
2476,9274
2476,9284
2503,9066
2503,9080
2503,9081
2503,9082
2503,9083
2503,9084
2503,9085
2503,9087
2504,9066
2504,9080
2504,9081
2504,9082
2504,9083
2504,9084
2504,9085
2504,9087
2505,9066
2505,9080
2505,9081
2505,9082
2505,9083
2505,9084
2505,9085
2505,9087
2535,9040
2535,9041
2536,9040
2536,9041
2537,9040
2537,9041
2538,9040
2538,9041
2547,9057
2548,9057
2549,9057
2550,9057
2555,9310
2556,9310
2557,9310
2558,9310
2563,9051
2564,9051
2565,9051
2566,9051
2567,9314
2568,9314
2569,9314
2570,9314
2575,9151
2576,9151
2577,9151
2578,9151
2627,9077
2627,9090
2627,9116
2627,9127
2627,9128
2627,9139
2628,9077
2628,9090
2628,9116
2628,9127
2628,9128
2628,9139
2629,9077
2629,9090
2629,9116
2629,9127
2629,9128
2629,9139
2630,9077
2630,9090
2630,9116
2630,9127
2630,9128
2630,9139
2667,9220
2667,9225
2667,9227
2667,9248
2668,9220
2668,9225
2668,9227
2668,9248
2669,9220
2669,9225
2669,9227
2669,9248
2670,9220
2670,9225
2670,9227
2670,9248