project_index_id,region_code
4,1
6,1
6,9
9,1
10,1
12,1
17,1
22,1
29,1
30,1
34,1
37,1
38,1
39,1
42,1
47,1
58,1
70,1
89,1
94,1
97,1
99,1
101,1
103,1
108,1
108,5
120,1
128,1
129,1
130,1
131,1
132,1
133,1
138,1
139,1
140,1
147,1
155,1
159,1
160,1
171,1
171,9
174,1
175,1
180,1
191,1
210,1
213,1
214,1
215,1
216,1
219,1
225,1
235,1
240,1
241,1
242,1
243,1
246,1
251,1
261,1
267,1
268,1
273,1
274,1
274,5
280,1
285,1
289,1
291,1
300,1
302,1
322,1
325,1
327,1
331,1
334,1
339,1
340,1
344,1
345,1
347,1
348,1
349,1
356,1
377,1
378,1
379,1
380,1
381,1
393,1
394,1
397,1
426,1
430,1
438,1
438,9
446,1
452,1
454,1
462,1
465,1
466,1
467,1
468,1
490,1
491,1
496,1
497,1
498,1
499,1
499,5
500,1
500,5
504,1
509,1
515,1
517,1
521,1
524,1
539,1
546,1
959,5
960,5
961,5
962,5
963,1
963,5
982,13
984,12
985,12
986,12
987,12
1036,2
1037,2
1038,2
1039,2
1060,7
1061,7
1062,7
1063,7
1064,7
1065,7
1066,7
1067,7
1068,7
1073,4
1074,4
1075,4
1076,4
1077,2
1078,2
1079,2
1080,2
1097,13
1098,13
1099,13
1100,13
1101,3
1102,3
1103,3
1104,3
1125,1
1126,1
1127,1
1128,1
1141,12
1142,12
1143,12
1144,12
1153,2
1154,2
1155,2
1156,2
1165,13
1166,13
1167,13
1168,13
1177,8
1178,8
1179,8
1180,8
1197,10
1198,10
1199,10
1200,10
1201,9
1202,9
1203,9
1204,9
1205,13
1206,13
1207,13
1208,13
1213,7
1214,7
1215,7
1216,7
1241,7
1242,7
1243,7
1244,7
1245,9
1246,9
1247,9
1248,9
1249,9
1250,9
1251,9
1252,9
1277,8
1278,8
1279,8
1280,8
1285,8
1286,8
1287,8
1288,8
1309,7
1309,10
1310,7
1310,10
1311,7
1311,10
1312,7
1312,10
1330,9
1339,13
1340,13
1341,13
1342,13
1351,10
1352,10
1353,10
1354,10
1379,8
1379,9
1380,8
1380,9
1381,8
1381,9
1382,8
1382,9
1387,9
1388,9
1389,9
1390,9
1391,1
1392,1
1393,1
1394,1
1411,7
1412,7
1413,7
1414,7
1419,8
1420,8
1421,8
1422,8
1423,6
1424,6
1425,6
1426,6
1439,8
1440,8
1441,8
1442,8
1451,13
1452,13
1453,13
1454,13
1459,9
1460,9
1461,9
1462,9
1463,5
1464,5
1465,5
1466,5
1471,8
1472,8
1473,8
1474,8
1491,11
1492,11
1493,11
1494,11
1499,7
1500,7
1501,7
1502,7
1503,9
1504,9
1505,9
1506,9
1507,8
1508,8
1509,8
1510,8
1539,7
1540,7
1541,7
1542,7
1559,9
1560,9
1561,9
1562,9
1567,9
1568,9
1569,9
1570,9
1571,9
1572,9
1573,9
1574,9
1586,1
1586,9
1597,1
1598,1
1599,1
1600,1
1621,5
1622,5
1623,5
1624,5
1637,7
1638,7
1639,7
1640,7
1653,13
1654,13
1655,13
1656,13
1657,13
1658,13
1659,13
1660,13
1717,7
1718,7
1719,7
1720,7
1749,5
1750,5
1751,5
1752,5
1757,5
1758,5
1759,5
1760,5
1768,1
1772,3
1773,3
1774,3
1775,4
1785,6
1785,7
1785,10
1786,6
1786,7
1786,10
1787,6
1787,7
1787,10
1794,5
1795,5
1796,5
1805,11
1806,11
1807,11
1808,11
1809,4
1810,4
1811,4
1812,4
1845,7
1845,10
1846,7
1846,10
1847,7
1847,10
1848,7
1848,10
1877,3
1878,3
1879,3
1880,3
1891,3
1892,3
1893,3
1906,7
1907,7
1908,7
1909,7
1918,12
1919,12
1920,12
1921,12
1930,7
1930,8
1931,7
1931,8
1932,7
1932,8
1933,7
1933,8
1938,11
1939,11
1940,11
1941,8
1942,8
1943,8
1944,8
1953,3
1954,3
1955,3
1963,6
1964,6
1971,6
1979,3
1980,3
1981,3
1989,7
1990,7
1991,7
1992,7
1997,1
1998,1
1999,1
2000,1
2001,4
2001,8
2002,4
2002,8
2003,4
2003,8
2004,4
2004,8
2009,7
2010,7
2011,7
2012,7
2101,13
2102,13
2103,13
2104,13
2165,6
2165,7
2166,6
2166,7
2167,6
2167,7
2168,6
2168,7
2181,7
2182,7
2183,7
2184,7
2245,9
2246,9
2247,9
2248,9
2297,7
2298,7
2299,7
2300,7
2309,7
2310,7
2311,7
2312,7
2325,2
2326,2
2327,2
2328,2
2353,5
2353,10
2354,5
2354,10
2355,5
2355,10
2356,5
2356,10
2373,10
2374,10
2375,10
2376,10
2381,11
2382,11
2387,7
2388,7
2389,7
2390,7
2395,1
2396,1
2397,1
2398,1
2427,2
2427,3
2428,2
2428,3
2429,2
2429,3
2430,2
2430,3
2439,5
2439,10
2440,5
2440,10
2441,5
2441,10
2442,5
2442,10
2451,7
2452,7
2453,7
2454,7
2459,7
2460,7
2461,7
2462,7
2463,8
2464,8
2465,8
2466,8
2475,12
2476,12
2503,3
2503,4
2504,3
2504,4
2505,3
2505,4
2535,2
2536,2
2537,2
2538,2
2547,2
2548,2
2549,2
2550,2
2555,13
2556,13
2557,13
2558,13
2563,2
2564,2
2565,2
2566,2
2567,13
2568,13
2569,13
2570,13
2575,8
2576,8
2577,8
2578,8
2627,4
2627,6
2627,7
2628,4
2628,6
2628,7
2629,4
2629,6
2629,7
2630,4
2630,6
2630,7
2667,9
2667,10
2668,9
2668,10
2669,9
2669,10
2670,9
2670,10
2719,2
2720,2
2721,2
2722,2
2767,5
2768,5
2769,5
2770,5
2823,9
2824,9
2825,9
2826,9
2855,9
2856,9
2857,9
2858,9
2883,2
2884,2
2885,2
2886,2
2907,9
2908,9
2909,9
2910,9
2919,9
2920,9
2921,9
2922,9
2935,8
2936,8
2937,8
2938,8
2971,7
2972,7
2973,7
2974,7
2983,13
2984,13
2985,13
2986,13
3015,11
3016,11
3017,11
3018,11
3027,10
3028,10
3029,10
3030,10
3051,2
3052,2
3053,2
3054,2
3063,1
3064,1
3065,1
3066,1
3075,4
3076,4
3077,4
3078,4
3115,2
3116,2
3117,2
3118,2
3243,9
3244,9
3245,9
3246,9
3247,9
3289,1
3290,1
3291,1
3292,1
3357,2
3358,2
3359,2
3360,2
3549,6
3550,6
3551,6
3552,6
3581,8
3582,8
3583,8
3584,8
3601,8
3602,8
3603,8
3604,8
3625,5
3626,5
3627,5
3628,5
3657,2
3658,2
3659,2
3660,2
3669,8
3670,8
3671,8
3672,8
3673,6
3674,6
3675,6
3676,6
3677,5
3677,8
3677,10
3678,5
3678,8
3678,10
3679,5
3679,8
3679,10
3680,5
3680,8
3680,10
3681,1
3682,1
3683,1
3684,1
3693,11
3694,11
3695,11
3696,11
3709,4
3710,4
3711,4
3712,4
3725,3
3726,3
3727,3
3728,3
3733,2
3734,2
3735,2
3736,2
3737,2
3738,2
3739,2
3740,2
3745,13
3746,13
3747,13
3748,13
3753,11
3754,11
3755,11
3756,11
3761,5
3762,5
3763,5
3764,5
3765,11
3774,10
3775,10
3776,10
3777,10
3778,9
3779,9
3780,9
3781,9
3782,2
3782,3
3783,2
3783,3
3784,2
3784,3
3785,2
3785,3
3786,5
3786,8
3787,5
3787,8
3788,5
3788,8
3789,5
3789,8
3794,9
3795,9
3796,9
3797,9
3799,5
3804,1
3805,1
3806,1
3807,1
3808,1
3809,1
3810,1
3811,1
3812,1
3813,1
3814,1
3815,1
3828,2
3829,2
3830,2
3831,2
3832,13
3833,13
3834,13
3835,13
3840,7
3841,7
3842,7
3843,7
3852,9
3853,9
3854,9
3855,9
3860,8
3861,8
3862,8
3863,8
3868,7
3869,7
3870,7
3871,7
3884,11
3885,11
3886,11
3887,11
3888,13
3889,13
3890,13
3891,13
3892,5
3892,6
3892,8
3892,10
3893,5
3893,6
3893,8
3893,10
3958,1
3959,1
3960,1
3961,1