project_id,monada_id,event_types_id,expenditure_type_id,id
29,2,7,2,4
32,2,10,3,6
31,4,10,1,7
49,2,13,2,8
47,2,10,4,9
47,2,10,1,10
28,4,13,5,11
35,5,10,3,12
61,7,7,2,17
73,2,12,2,22
80,1,10,4,28
82,2,10,5,29
86,2,12,3,30
83,2,13,5,31
91,2,10,4,33
97,2,8,4,34
93,4,3,4,35
93,4,3,5,36
92,4,12,5,37
97,2,8,5,38
99,2,7,2,39
95,4,10,5,40
104,7,12,4,42
106,2,12,4,43
105,7,8,4,44
114,2,13,5,45
113,2,3,1,46
120,2,5,1,47
125,1,3,5,51
138,5,12,4,58
126,2,7,2,70
153,2,10,1,71
152,4,16,5,72
153,2,10,3,73
155,4,10,4,74
157,2,8,1,75
157,2,8,4,76
160,2,10,4,77
158,5,10,3,78
157,2,8,5,79
162,4,3,5,80
164,8,10,1,81
162,4,3,1,82
166,2,8,3,83
165,5,3,4,84
169,5,10,3,85
164,8,10,4,86
173,4,10,3,87
174,2,10,4,88
175,11,13,5,89
165,5,3,1,90
169,5,10,5,91
174,2,10,3,92
179,5,10,4,94
181,4,10,5,97
190,2,13,1,99
192,5,13,5,100
190,2,13,5,101
190,2,13,3,103
22,4,10,4,104
22,4,10,1,105
25,2,10,1,108
28,4,13,4,109
34,4,10,5,110
45,5,8,1,112
34,4,10,3,114
48,2,10,5,115
70,2,12,3,120
83,2,13,1,124
83,2,13,4,125
91,2,10,3,127
92,4,12,1,128
100,7,12,4,129
100,7,12,5,130
82,2,10,1,131
89,2,7,2,132
103,7,7,2,133
107,2,12,5,134
114,2,13,4,135
120,2,6,2,138
120,2,5,2,139
126,2,10,2,140
138,5,12,1,147
146,4,10,4,148
155,4,10,1,149
158,5,10,5,150
160,2,10,5,151
163,4,10,5,152
167,5,3,4,153
172,2,8,4,154
171,5,12,3,155
161,4,10,5,156
151,2,10,1,157
169,5,10,1,158
176,6,13,5,159
178,7,10,5,160
182,4,10,1,161
26,4,13,3,170
32,2,10,1,171
47,2,10,5,174
35,5,10,5,175
70,2,12,4,180
95,4,10,3,187
95,4,10,1,189
106,2,12,3,190
120,2,6,4,191
146,4,10,3,201
148,10,8,3,203
151,2,10,3,204
154,1,10,5,205
153,2,10,4,206
161,4,10,4,207
165,5,3,5,208
161,4,10,3,209
171,5,12,4,210
172,2,8,3,211
167,5,3,3,212
175,11,13,3,213
171,5,12,1,214
176,6,13,4,215
179,5,10,1,216
187,2,10,4,218
193,5,12,1,219
192,5,13,1,220
34,4,10,4,223
34,4,10,1,224
35,5,10,1,225
80,1,10,5,230
78,2,10,5,231
83,2,13,3,234
86,2,12,4,235
93,4,3,1,236
93,4,3,3,238
91,2,10,5,239
100,7,12,3,240
104,7,12,3,241
104,7,12,5,242
120,2,6,1,243
124,2,10,2,244
125,1,3,3,245
120,2,5,3,246
124,2,7,2,247
138,5,12,5,251
156,5,13,3,257
158,5,10,1,258
160,2,10,3,259
168,2,10,1,260
171,5,12,5,261
159,2,10,5,262
173,4,10,4,263
172,2,8,1,264
163,4,10,3,265
174,2,10,5,266
179,5,10,5,267
179,5,10,3,268
182,4,10,3,269
182,4,10,5,270
187,2,10,5,271
187,2,10,1,272
176,6,13,1,273
25,2,10,5,274
22,4,10,3,275
31,4,10,5,277
45,5,8,4,279
47,2,10,3,280
52,5,7,2,285
78,2,10,1,287
78,2,10,4,288
89,2,12,2,289
96,4,16,3,290
92,4,12,3,291
96,4,16,5,292
96,4,16,1,295
107,2,12,4,296
113,2,3,3,297
106,2,12,5,298
120,2,6,3,300
120,2,5,4,302
148,10,8,5,308
151,2,10,5,312
154,1,10,4,313
154,1,10,1,314
159,2,10,4,315
163,4,10,1,316
168,2,10,3,317
170,2,10,1,318
161,4,10,1,319
174,2,10,1,320
166,2,8,1,321
176,6,13,3,322
182,4,10,4,324
190,2,13,4,325
181,4,10,4,327
26,4,13,5,329
28,4,13,3,330
35,5,10,4,331
48,2,10,1,333
29,2,12,2,334
45,5,8,3,335
66,2,10,2,339
70,2,12,5,340
78,2,10,3,343
86,2,12,1,344
88,5,7,2,345
91,2,10,1,346
82,2,10,3,347
97,2,8,1,348
104,7,12,1,349
105,7,8,3,350
113,2,3,5,352
114,2,13,3,353
125,1,3,1,355
123,4,7,2,356
146,4,10,1,362
146,4,10,5,364
152,4,16,3,367
156,5,13,5,368
156,5,13,4,369
159,2,10,3,370
164,8,10,3,371
167,5,3,1,372
168,2,10,5,373
170,2,10,4,374
152,4,16,1,375
169,5,10,4,376
178,7,10,1,377
178,7,10,4,378
181,4,10,3,379
193,5,12,3,380
191,2,10,4,381
28,4,13,1,382
31,4,10,3,384
45,5,8,5,385
49,2,7,2,386
26,4,13,1,388
61,7,12,2,393
73,2,7,2,394
80,1,10,3,396
82,2,10,4,397
94,2,10,1,400
95,4,10,4,402
105,7,8,5,404
106,2,12,1,405
107,2,12,3,406
113,2,3,4,408
148,10,8,4,413
148,10,8,1,416
151,2,10,4,417
152,4,16,4,418
154,1,10,3,419
158,5,10,4,420
162,4,3,4,421
164,8,10,5,422
173,4,10,5,423
159,2,10,1,424
172,2,8,5,425
178,7,10,3,426
191,2,10,3,430
192,5,13,4,432
22,4,10,5,437
32,2,10,4,438
31,4,10,4,439
48,2,10,4,441
48,2,10,3,442
66,2,7,2,446
13,11,10,1,452
19,11,10,1,453
11,11,10,1,454
14,11,10,1,455
17,11,10,1,456
12,11,10,1,458
88,5,12,2,462
97,2,8,3,465
92,4,12,4,466
100,7,12,1,467
86,2,12,5,468
94,2,10,3,469
125,1,3,4,471
114,2,13,1,472
153,2,10,5,482
156,5,13,1,483
162,4,3,3,484
168,2,10,4,485
160,2,10,2,486
170,2,10,3,487
173,4,10,1,488
157,2,8,3,489
175,11,13,1,490
181,4,10,1,491
187,2,10,3,495
193,5,12,4,496
191,2,10,5,497
193,5,12,5,498
25,2,10,3,499
25,2,10,4,500
26,4,13,4,501
52,5,12,2,504
70,2,12,1,509
80,1,10,1,511
94,2,10,5,513
96,4,16,4,514
99,2,12,2,515
94,2,10,4,516
103,7,10,2,517
105,7,8,1,518
107,2,12,1,519
123,4,12,2,521
138,5,12,3,524
155,4,10,5,531
160,2,10,1,532
155,4,10,3,533
163,4,10,4,534
166,2,8,4,535
167,5,3,5,536
170,2,10,5,537
165,5,3,3,538
175,11,13,4,539
166,2,8,5,540
191,2,10,1,546
192,5,13,3,547
194,2,12,1,947
194,2,12,4,948
194,2,12,5,949
194,2,12,3,950
1,2,10,4,959
1,2,10,3,960
1,2,10,1,961
1,2,10,5,962
1,1,10,5,963
90,11,7,2,982
24,2,10,1,984
24,2,10,4,985
24,2,10,5,986
24,2,10,3,987
87,4,10,5,1036
87,4,10,4,1037
87,4,10,1,1038
87,4,10,3,1039
2,5,10,1,1060
2,5,10,3,1061
2,5,10,2,1062
2,5,10,5,1063
2,5,10,4,1064
5,5,10,3,1065
5,5,10,1,1066
5,5,10,4,1067
5,5,10,5,1068
180,4,3,5,1073
180,4,3,3,1074
180,4,3,4,1075
180,4,3,1,1076
177,4,10,3,1077
177,4,10,1,1078
177,4,10,5,1079
177,4,10,4,1080
74,11,13,3,1097
74,11,13,5,1098
74,11,13,4,1099
74,11,13,1,1100
6,4,13,3,1101
6,4,13,1,1102
6,4,13,4,1103
6,4,13,5,1104
23,4,10,4,1125
23,4,10,1,1126
23,4,10,3,1127
23,4,10,5,1128
183,2,10,1,1141
183,2,10,4,1142
183,2,10,3,1143
183,2,10,5,1144
185,4,10,5,1153
185,4,10,4,1154
185,4,10,3,1155
185,4,10,1,1156
3,11,10,1,1165
3,11,10,3,1166
3,11,10,4,1167
3,11,10,5,1168
4,2,13,4,1177
4,2,13,1,1178
4,2,13,5,1179
4,2,13,3,1180
7,5,12,3,1197
7,5,12,1,1198
7,5,12,4,1199
7,5,12,5,1200
7,6,12,1,1201
7,6,12,4,1202
7,6,12,5,1203
7,6,12,3,1204
184,1,8,1,1205
184,1,8,4,1206
184,1,8,3,1207
184,1,8,5,1208
15,5,10,1,1213
15,5,10,4,1214
15,5,10,5,1215
15,5,10,3,1216
62,5,12,4,1241
62,5,12,1,1242
62,5,12,5,1243
62,5,12,3,1244
62,7,12,1,1245
62,7,12,4,1246
62,7,12,5,1247
62,7,12,3,1248
62,6,12,1,1249
62,6,12,4,1250
62,6,12,5,1251
62,6,12,3,1252
127,2,12,3,1277
127,2,12,1,1278
127,2,12,5,1279
127,2,12,4,1280
127,6,12,1,1285
127,6,12,4,1286
127,6,12,5,1287
127,6,12,3,1288
67,5,12,3,1309
67,5,12,1,1310
67,5,12,5,1311
67,5,12,4,1312
29,7,12,2,1330
188,11,13,3,1339
188,11,13,5,1340
188,11,13,1,1341
188,11,13,4,1342
27,5,8,3,1351
27,5,8,1,1352
27,5,8,4,1353
27,5,8,5,1354
129,7,12,5,1379
129,7,12,3,1380
129,7,12,4,1381
129,7,12,1,1382
129,6,12,1,1387
129,6,12,4,1388
129,6,12,5,1389
129,6,12,3,1390
128,4,10,4,1391
128,4,10,5,1392
128,4,10,3,1393
128,4,10,1,1394
130,5,3,1,1411
130,5,3,4,1412
130,5,3,5,1413
130,5,3,3,1414
54,7,3,5,1419
54,7,3,1,1420
54,7,3,3,1421
54,7,3,4,1422
42,5,10,1,1423
42,5,10,4,1424
42,5,10,3,1425
42,5,10,5,1426
132,2,10,4,1439
132,2,10,3,1440
132,2,10,1,1441
132,2,10,5,1442
30,11,10,4,1451
30,11,10,1,1452
30,11,10,5,1453
30,11,10,3,1454
133,7,12,3,1459
133,7,12,5,1460
133,7,12,1,1461
133,7,12,4,1462
134,2,8,3,1463
134,2,8,4,1464
134,2,8,5,1465
134,2,8,1,1466
71,7,8,3,1471
71,7,8,1,1472
71,7,8,5,1473
71,7,8,4,1474
9,2,12,1,1491
9,2,12,4,1492
9,2,12,5,1493
9,2,12,3,1494
131,5,12,4,1499
131,5,12,5,1500
131,5,12,3,1501
131,5,12,1,1502
57,7,12,3,1503
57,7,12,5,1504
57,7,12,1,1505
57,7,12,4,1506
141,7,10,1,1507
141,7,10,4,1508
141,7,10,3,1509
141,7,10,5,1510
137,5,10,3,1539
137,5,10,4,1540
137,5,10,1,1541
137,5,10,5,1542
135,6,12,3,1559
135,6,12,1,1560
135,6,12,4,1561
135,6,12,5,1562
139,6,12,3,1567
139,6,12,1,1568
139,6,12,4,1569
139,6,12,5,1570
195,7,12,4,1571
195,7,12,1,1572
195,7,12,5,1573
195,7,12,3,1574
102,7,12,2,1586
8,4,16,4,1597
8,4,16,1,1598
8,4,16,5,1599
8,4,16,3,1600
55,2,10,5,1621
55,2,10,3,1622
55,2,10,1,1623
55,2,10,4,1624
18,5,10,1,1637
18,5,10,4,1638
18,5,10,5,1639
18,5,10,3,1640
56,11,10,1,1653
56,11,10,5,1654
56,11,10,3,1655
56,11,10,4,1656
56,10,10,1,1657
56,10,10,4,1658
56,10,10,5,1659
56,10,10,3,1660
140,5,10,1,1717
140,5,10,5,1718
140,5,10,3,1719
140,5,10,4,1720
136,2,8,5,1749
136,2,8,4,1750
136,2,8,1,1751
136,2,8,3,1752
147,2,10,4,1757
147,2,10,5,1758
147,2,10,1,1759
147,2,10,3,1760
37,2,22,6,1768
109,2,13,4,1772
109,2,13,1,1773
109,2,13,3,1774
84,2,13,1,1775
39,2,13,4,1785
39,2,13,1,1786
39,2,13,3,1787
41,2,13,1,1794
41,2,13,4,1795
41,2,13,3,1796
58,2,13,1,1805
58,2,13,4,1806
58,2,13,5,1807
58,2,13,3,1808
59,2,13,3,1809
59,2,13,1,1810
59,2,13,5,1811
59,2,13,4,1812
110,2,12,1,1845
110,2,12,4,1846
110,2,12,5,1847
110,2,12,3,1848
98,2,13,1,1877
98,2,13,4,1878
98,2,13,3,1879
98,2,13,5,1880
111,4,13,4,1891
111,4,13,1,1892
111,4,13,3,1893
43,5,13,1,1906
43,5,13,4,1907
43,5,13,5,1908
43,5,13,3,1909
16,2,13,1,1918
16,2,13,4,1919
16,2,13,5,1920
16,2,13,3,1921
44,2,13,1,1930
44,2,13,4,1931
44,2,13,5,1932
44,2,13,3,1933
64,2,13,1,1938
64,2,13,4,1939
64,2,13,3,1940
68,2,13,1,1941
68,2,13,4,1942
68,2,13,5,1943
68,2,13,3,1944
20,2,13,1,1953
20,2,13,4,1954
20,2,13,3,1955
63,2,13,2,1963
63,2,13,5,1964
33,2,13,8,1971
115,2,13,4,1979
115,2,13,1,1980
115,2,13,3,1981
46,5,13,4,1989
46,5,13,1,1990
46,5,13,5,1991
46,5,13,3,1992
186,2,13,1,1997
186,2,13,4,1998
186,2,13,5,1999
186,2,13,3,2000
75,2,8,1,2001
75,2,8,4,2002
75,2,8,5,2003
75,2,8,3,2004
75,5,8,1,2009
75,5,8,4,2010
75,5,8,5,2011
75,5,8,3,2012
72,2,13,1,2101
72,2,13,4,2102
72,2,13,5,2103
72,2,13,3,2104
116,5,13,1,2165
116,5,13,4,2166
116,5,13,5,2167
116,5,13,3,2168
117,5,13,1,2181
117,5,13,4,2182
117,5,13,5,2183
117,5,13,3,2184
143,2,10,3,2245
143,2,10,4,2246
143,2,10,1,2247
143,2,10,5,2248
76,5,8,3,2297
76,5,8,1,2298
76,5,8,4,2299
76,5,8,5,2300
118,5,10,3,2309
118,5,10,1,2310
118,5,10,4,2311
118,5,10,5,2312
77,4,16,4,2325
77,4,16,1,2326
77,4,16,3,2327
77,4,16,5,2328
119,2,10,4,2353
119,2,10,1,2354
119,2,10,3,2355
119,2,10,5,2356
145,2,3,1,2373
145,2,3,3,2374
145,2,3,4,2375
145,2,3,5,2376
142,3,13,2,2381
142,3,13,8,2382
144,5,13,4,2387
144,5,13,3,2388
144,5,13,1,2389
144,5,13,5,2390
10,4,10,1,2395
10,4,10,5,2396
10,4,10,4,2397
10,4,10,3,2398
149,4,10,5,2427
149,4,10,1,2428
149,4,10,4,2429
149,4,10,3,2430
149,2,10,1,2439
149,2,10,4,2440
149,2,10,5,2441
149,2,10,3,2442
149,5,10,1,2451
149,5,10,4,2452
149,5,10,5,2453
149,5,10,3,2454
121,5,3,1,2459
121,5,3,4,2460
121,5,3,3,2461
121,5,3,5,2462
60,2,12,5,2463
60,2,12,4,2464
60,2,12,1,2465
60,2,12,3,2466
79,3,13,2,2475
79,3,13,8,2476
101,2,13,1,2503
101,2,13,3,2504
101,2,13,4,2505
65,4,10,5,2535
65,4,10,3,2536
65,4,10,4,2537
65,4,10,1,2538
69,4,10,5,2547
69,4,10,3,2548
69,4,10,4,2549
69,4,10,1,2550
150,3,12,1,2555
150,3,12,3,2556
150,3,12,4,2557
150,3,12,5,2558
81,4,3,1,2563
81,4,3,4,2564
81,4,3,5,2565
81,4,3,3,2566
85,3,12,3,2567
85,3,12,5,2568
85,3,12,1,2569
85,3,12,4,2570
50,2,12,1,2575
50,2,12,4,2576
50,2,12,5,2577
50,2,12,3,2578
122,5,10,3,2627
122,5,10,1,2628
122,5,10,4,2629
122,5,10,5,2630
51,2,12,3,2667
51,2,12,4,2668
51,2,12,1,2669
51,2,12,5,2670