project_index_id,unit_code
4,101
6,101
6,904
9,101
10,101
12,101
17,101
22,101
29,101
30,101
34,101
37,101
38,101
39,101
42,101
47,101
58,101
70,101
89,101
94,101
97,101
99,101
101,101
103,101
108,101
108,504
120,101
128,101
129,101
130,101
131,101
132,101
133,101
138,101
139,101
140,101
147,101
155,101
159,101
160,101
171,101
171,904
174,101
175,101
180,101
191,101
210,101
213,101
214,101
215,101
216,101
219,101
225,101
235,101
240,101
241,101
242,101
243,101
246,101
251,101
261,101
267,101
268,101
273,101
274,101
274,504
280,101
285,101
289,101
291,101
300,101
302,101
322,101
325,101
327,101
331,101
334,101
339,101
340,101
344,101
345,101
347,101
348,101
349,101
356,101
377,101
378,101
379,101
380,101
381,101
393,101
394,101
397,101
426,101
430,101
438,101
438,904
446,101
452,101
454,101
462,101
465,101
466,101
467,101
468,101
490,101
491,101
496,101
497,101
498,101
499,101
499,504
500,101
500,504
504,101
509,101
515,101
517,101
521,101
524,101
539,101
546,101
959,505
960,505
961,505
962,505
963,101
963,505
982,1301
982,1302
984,1203
985,1203
986,1203
987,1203
1036,202
1037,202
1038,202
1039,202
1060,701
1061,701
1062,701
1063,701
1064,701
1065,701
1066,701
1067,701
1068,701
1073,401
1074,401
1075,401
1076,401
1077,205
1078,205
1079,205
1080,205
1097,1302
1098,1302
1099,1302
1100,1302
1101,302
1101,304
1102,302
1102,304
1103,302
1103,304
1104,302
1104,304
1125,103
1126,103
1127,103
1128,103
1141,1201
1141,1204
1141,1211
1142,1201
1142,1204
1142,1211
1143,1201
1143,1204
1143,1211
1144,1201
1144,1204
1144,1211
1153,206
1154,206
1155,206
1156,206
1165,1301
1165,1304
1166,1301
1166,1304
1167,1301
1167,1304
1168,1301
1168,1304
1177,805
1178,805
1179,805
1180,805
1197,1003
1198,1003
1199,1003
1200,1003
1201,908
1202,908
1203,908
1204,908
1205,1304
1206,1304
1207,1304
1208,1304
1213,701
1214,701
1215,701
1216,701
1241,702
1242,702
1243,702
1244,702
1245,907
1246,907
1247,907
1248,907
1249,901
1250,901
1251,901
1252,901
1277,804
1277,805
1278,804
1278,805
1279,804
1279,805
1280,804
1280,805
1285,802
1286,802
1287,802
1288,802
1309,702
1309,703
1309,1002
1309,1004
1309,1005
1310,702
1310,703
1310,1002
1310,1004
1310,1005
1311,702
1311,703
1311,1002
1311,1004
1311,1005
1312,702
1312,703
1312,1002
1312,1004
1312,1005
1330,901
1339,1301
1339,1302
1340,1301
1340,1302
1341,1301
1341,1302
1342,1301
1342,1302
1351,1005
1352,1005
1353,1005
1354,1005
1379,802
1379,907
1380,802
1380,907
1381,802
1381,907
1382,802
1382,907
1387,908
1388,908
1389,908
1390,908
1391,106
1392,106
1393,106
1394,106
1411,701
1412,701
1413,701
1414,701
1419,802
1420,802
1421,802
1422,802
1423,602
1423,603
1424,602
1424,603
1425,602
1425,603
1426,602
1426,603
1439,804
1440,804
1441,804
1442,804
1451,1301
1452,1301
1453,1301
1454,1301
1459,907
1460,907
1461,907
1462,907
1463,501
1464,501
1465,501
1466,501
1471,802
1472,802
1473,802
1474,802
1491,1102
1492,1102
1493,1102
1494,1102
1499,703
1500,703
1501,703
1502,703
1503,907
1504,907
1505,907
1506,907
1507,802
1508,802
1509,802
1510,802
1539,703
1540,703
1541,703
1542,703
1559,908
1560,908
1561,908
1562,908
1567,908
1568,908
1569,908
1570,908
1571,901
1571,907
1572,901
1572,907
1573,901
1573,907
1574,901
1574,907
1586,101
1586,901
1586,907
1597,101
1598,101
1599,101
1600,101
1621,502
1622,502
1623,502
1624,502
1637,702
1638,702
1639,702
1640,702
1653,1302
1654,1302
1655,1302
1656,1302
1657,1304
1658,1304
1659,1304
1660,1304
1717,701
1718,701
1719,701
1720,701
1749,501
1750,501
1751,501
1752,501
1757,503
1758,503
1759,503
1760,503
1768,101
1772,304
1773,304
1774,304
1775,403
1785,601
1785,703
1785,1005
1786,601
1786,703
1786,1005
1787,601
1787,703
1787,1005
1794,502
1795,502
1796,502
1805,1102
1806,1102
1807,1102
1808,1102
1809,403
1810,403
1811,403
1812,403
1845,701
1845,702
1845,703
1845,1002
1845,1003
1845,1004
1845,1005
1846,701
1846,702
1846,703
1846,1002
1846,1003
1846,1004
1846,1005
1847,701
1847,702
1847,703
1847,1002
1847,1003
1847,1004
1847,1005
1848,701
1848,702
1848,703
1848,1002
1848,1003
1848,1004
1848,1005
1877,301
1877,303
1878,301
1878,303
1879,301
1879,303
1880,301
1880,303
1891,302
1892,302
1893,302
1906,701
1906,702
1906,703
1907,701
1907,702
1907,703
1908,701
1908,702
1908,703
1909,701
1909,702
1909,703
1918,1211
1919,1211
1920,1211
1921,1211
1930,701
1930,805
1931,701
1931,805
1932,701
1932,805
1933,701
1933,805
1938,1104
1939,1104
1940,1104
1941,804
1941,805
1942,804
1942,805
1943,804
1943,805
1944,804
1944,805
1953,301
1953,303
1954,301
1954,303
1955,301
1955,303
1963,602
1963,604
1964,602
1964,604
1971,602
1971,604
1979,301
1979,303
1980,301
1980,303
1981,301
1981,303
1989,702
1990,702
1991,702
1992,702
1997,102
1998,102
1999,102
2000,102
2001,401
2001,403
2001,404
2001,803
2001,804
2002,401
2002,403
2002,404
2002,803
2002,804
2003,401
2003,403
2003,404
2003,803
2003,804
2004,401
2004,403
2004,404
2004,803
2004,804
2009,701
2010,701
2011,701
2012,701
2101,1301
2101,1303
2101,1304
2102,1301
2102,1303
2102,1304
2103,1301
2103,1303
2103,1304
2104,1301
2104,1303
2104,1304
2165,602
2165,604
2165,605
2165,701
2166,602
2166,604
2166,605
2166,701
2167,602
2167,604
2167,605
2167,701
2168,602
2168,604
2168,605
2168,701
2181,703
2182,703
2183,703
2184,703
2245,901
2245,902
2245,903
2245,906
2245,907
2245,908
2246,901
2246,902
2246,903
2246,906
2246,907
2246,908
2247,901
2247,902
2247,903
2247,906
2247,907
2247,908
2248,901
2248,902
2248,903
2248,906
2248,907
2248,908
2297,703
2298,703
2299,703
2300,703
2309,702
2309,703
2310,702
2310,703
2311,702
2311,703
2312,702
2312,703
2325,206
2326,206
2327,206
2328,206
2353,502
2353,1002
2354,502
2354,1002
2355,502
2355,1002
2356,502
2356,1002
2373,1004
2373,1005
2374,1004
2374,1005
2375,1004
2375,1005
2376,1004
2376,1005
2381,1102
2382,1102
2387,701
2388,701
2389,701
2390,701
2395,103
2396,103
2397,103
2398,103
2427,202
2427,301
2427,303
2428,202
2428,301
2428,303
2429,202
2429,301
2429,303
2430,202
2430,301
2430,303
2439,505
2439,1001
2439,1002
2440,505
2440,1001
2440,1002
2441,505
2441,1001
2441,1002
2442,505
2442,1001
2442,1002
2451,703
2452,703
2453,703
2454,703
2459,703
2460,703
2461,703
2462,703
2463,802
2464,802
2465,802
2466,802
2475,1203
2475,1206
2476,1203
2476,1206
2503,303
2503,403
2504,303
2504,403
2505,303
2505,403
2535,203
2536,203
2537,203
2538,203
2547,207
2548,207
2549,207
2550,207
2555,1302
2556,1302
2557,1302
2558,1302
2563,206
2564,206
2565,206
2566,206
2567,1303
2568,1303
2569,1303
2570,1303
2575,802
2576,802
2577,802
2578,802
2627,402
2627,404
2627,601
2627,701
2627,703
2628,402
2628,404
2628,601
2628,701
2628,703
2629,402
2629,404
2629,601
2629,701
2629,703
2630,402
2630,404
2630,601
2630,701
2630,703
2667,907
2667,1004
2668,907
2668,1004
2669,907
2669,1004
2670,907
2670,1004
2719,202
2720,202
2721,202
2722,202
2767,501
2768,501
2769,501
2770,501
2823,906
2824,906
2825,906
2826,906
2855,908
2856,908
2857,908
2858,908
2883,207
2884,207
2885,207
2886,207
2907,907
2908,907
2909,907
2910,907
2919,908
2920,908
2921,908
2922,908
2935,804
2936,804
2937,804
2938,804
2971,703
2972,703
2973,703
2974,703
2983,1303
2984,1303
2985,1303
2986,1303
3015,1102
3016,1102
3017,1102
3018,1102
3027,1001
3028,1001
3029,1001
3030,1001
3051,207
3052,207
3053,207
3054,207
3063,101
3064,101
3065,101
3066,101
3075,404
3076,404
3077,404
3078,404
3115,207
3116,207
3117,207
3118,207
3243,908
3244,908
3245,908
3246,908
3247,908
3289,104
3290,104
3291,104
3292,104
3357,207
3358,207
3359,207
3360,207
3549,604
3550,604
3551,604
3552,604
3581,802
3582,802
3583,802
3584,802
3601,801
3602,801
3603,801
3604,801
3625,505
3626,505
3627,505
3628,505
3657,201
3658,201
3659,201
3660,201
3669,802
3670,802
3671,802
3672,802
3673,601
3673,602
3673,604
3673,605
3674,601
3674,602
3674,604
3674,605
3675,601
3675,602
3675,604
3675,605
3676,601
3676,602
3676,604
3676,605
3677,501
3677,502
3677,503
3677,505
3677,804
3677,1003
3678,501
3678,502
3678,503
3678,505
3678,804
3678,1003
3679,501
3679,502
3679,503
3679,505
3679,804
3679,1003
3680,501
3680,502
3680,503
3680,505
3680,804
3680,1003
3681,102
3682,102
3683,102
3684,102
3693,1101
3693,1104
3693,1105
3694,1101
3694,1104
3694,1105
3695,1101
3695,1104
3695,1105
3696,1101
3696,1104
3696,1105
3709,402
3709,403
3709,404
3710,402
3710,403
3710,404
3711,402
3711,403
3711,404
3712,402
3712,403
3712,404
3725,302
3726,302
3727,302
3728,302
3733,202
3734,202
3735,202
3736,202
3737,206
3738,206
3739,206
3740,206
3745,1304
3746,1304
3747,1304
3748,1304
3753,1104
3754,1104
3755,1104
3756,1104
3761,503
3762,503
3763,503
3764,503
3765,1101
3765,1104
3765,1105
3774,1003
3775,1003
3776,1003
3777,1003
3778,907
3779,907
3780,907
3781,907
3782,205
3782,301
3782,303
3783,205
3783,301
3783,303
3784,205
3784,301
3784,303
3785,205
3785,301
3785,303
3786,501
3786,502
3786,505
3786,804
3787,501
3787,502
3787,505
3787,804
3788,501
3788,502
3788,505
3788,804
3789,501
3789,502
3789,505
3789,804
3794,901
3794,903
3795,901
3795,903
3796,901
3796,903
3797,901
3797,903
3799,502
3799,505
3804,106
3805,106
3806,106
3807,106
3808,101
3809,101
3810,101
3811,101
3812,102
3813,102
3814,102
3815,102
3828,203
3829,203
3830,203
3831,203
3832,1304
3833,1304
3834,1304
3835,1304
3840,701
3841,701
3842,701
3843,701
3852,907
3853,907
3854,907
3855,907
3860,805
3861,805
3862,805
3863,805
3868,703
3869,703
3870,703
3871,703
3884,1104
3885,1104
3886,1104
3887,1104
3888,1301
3888,1302
3888,1303
3888,1304
3889,1301
3889,1302
3889,1303
3889,1304
3890,1301
3890,1302
3890,1303
3890,1304
3891,1301
3891,1302
3891,1303
3891,1304
3892,501
3892,502
3892,503
3892,505
3892,601
3892,602
3892,604
3892,605
3892,802
3892,804
3892,1003
3893,501
3893,502
3893,503
3893,505
3893,601
3893,602
3893,604
3893,605
3893,802
3893,804
3893,1003
3958,102
3959,102
3960,102
3961,102